,ES,ELM,SVR,RF,ARIMA,MLP,LSTM,VMD-ARIMA,VMD-LSTM,CEEMDAN-ARIMA,CEEMDAN-LSTM,Proposed
ES,,0.0,0.0,0.0,0.0,0.1214,0.0,0.0,0.0,0.0,0.0,0.0
ELM,0.0,,0.0,0.0,0.0001,0.0415,0.0001,0.0001,0.0,0.0001,0.0,0.0001
SVR,0.0,0.0,,0.0,0.0001,0.0409,0.0,0.0001,0.0,0.0002,0.0,0.0001
RF,0.0,0.0,0.0,,0.0,0.0419,0.0,0.0,0.0,0.0,0.0001,0.0
ARIMA,0.0,0.0001,0.0001,0.0,,0.0381,0.0001,0.0739,0.0,0.0004,0.0,0.0828
MLP,0.1214,0.0415,0.0409,0.0419,0.0381,,0.0412,0.0381,0.0431,0.0387,0.0428,0.0381
LSTM,0.0,0.0001,0.0,0.0,0.0001,0.0412,,0.0001,0.0,0.0001,0.0,0.0001
VMD-ARIMA,0.0,0.0001,0.0001,0.0,0.0739,0.0381,0.0001,,0.0,0.0005,0.0,0.066
VMD-LSTM,0.0,0.0,0.0,0.0,0.0,0.0431,0.0,0.0,,0.0,0.0043,0.0
CEEMDAN-ARIMA,0.0,0.0001,0.0002,0.0,0.0004,0.0387,0.0001,0.0005,0.0,,0.0,0.0005
CEEMDAN-LSTM,0.0,0.0,0.0,0.0001,0.0,0.0428,0.0,0.0,0.0043,0.0,,0.0
Proposed,0.0,0.0001,0.0001,0.0,0.0828,0.0381,0.0001,0.066,0.0,0.0005,0.0,
